,Name,Calendar_year,Population
445,South Dakota,2020,890554
446,Tennessee,2020,6889361
447,Texas,2020,29346185
448,Utah,2020,3258416
449,Vermont,2020,623811
450,Virginia,2020,8571485
451,Washington,2020,7710658
452,West Virginia,2020,1779718
453,Wisconsin,2020,5838558
454,Wyoming,2020,578673
455,Puerto Rico,2020,3127898
